But	Maar
baby	baba
school	toe
followed	daarna
someone	Iemand
chores	takies
serving	bedien
tea	tee
kind	vriendelike
In	Die
that	aan
trustworthiness	betroubaarheid
Write	Skryf
true	waaragtig
fails	nie
demands	eise
As	Toe
Brother	broer
speakers	sprekers
admonition	raad
graduates	Gileadgegradueerdes
but	as
attendance	gehoor
focused	aandag gevestig
recipient	ontvanger
well	gesond
wide	wêreld
shoulder	skouer
brings	tot
whereas	terwyl
moral	sedelik
fornicators	hoereerders
conclude	aflei
opening	eerste
down	om
judge	oordeel
arrange	reël
trustworthy	betroubare
upbuilding	opbouende
instruction	onderrigting
painfully	pynlik
was	lank
Navy	Vloot
for	gedien
inheritance	erfenis
brought	gebring
would	Sou
revelation	openbaring
editor	redakteur
uttered	geuiter
continue	voortdurend
kindly	goedgunstiglik
back	teruggebring
negligence	nalatigheid
found	vinde
by	wanneer
of	genoeg
is	gee
insufficient	onvoldoende
proteins	proteïene
vitamins	vitamiene
minerals	minerale
frequent	herhaalde
may	van
options	keuses
subject	onderhewig
unforeseen	onvoorsiene
appreciate	besef
unhappy	ongelukkige
comes	aanbreek
Baptism	Doop
symbolizes	simboliseer
illustrations	illustrasies
applied	toepassing
Imagine	jou
sexual	seksueel
abuse	misbruik
meantime	Intussen
succeeded	daarin geslaag
energy	krag
looking	na
cases	hofsake
involved	by betrokke
law	reg
gain	om
Phil	Fil
content	inhoud
programs	programme
types	soort
consider	beskou
be	as
inappropriate	ongepas
some	Sommige
far	lank
mature	volwasse
generous	ruimhartige
construct	bou
utmost	uiterste bes
learned	leer
French	Frans
saw	&apos
accompanied	saam
girlfriend	vriendin
asking	gevra
legions	legioene
healing	geloofsgenesing
loneliness	eensaamheid
unbearable	ondraaglik
that	want
vision	visioen
portrays	beeld
harlot	hoer
	..
taxes	belasting
meditate	nadink
since	vandat
shown	gewys
one	wat
Several	Verskeie
had	glad
lay	lê
meditating	peins
train	leer
This	Dít
wills	wil
vessel	vat
sanctification	heiliging
rights	regte
uncleanness	onreinheid
Thessalonians	Tessalonisense
evident	duidelike
hostility	vyandigheid
organized	gereël
Berlin	Berlyn
on	vir
Only	slegs
appears	voorkom
significance	betekenis
increasing	toeneem
Has	Het
progressed	vooruitgang
involved	het
concentration	konsentrasiekampe
orbits	wentelbane
processes	prosesse
takes	verg
patience	geduld
that	asof
thinner	dunner
independent	onafhanklik
aims	doelwitte
which	waarmee
produce	opbrengs
London	Londense
to	by om
cult	kultus
itself	sigself
vague	vaag
built	wat
charismatic	charismatiese
personification	verpersoonliking
conscious	bewus
grieving	bedroef
deliberately	doelbewus
Jude	Judas
most	ergste
levels	vlak
entering	in
indicate	toon
4	vier
cocaine	kokaïen
40,000	40 000
doses	dosisse
greater	meer
estimates	skattings
numerous	baie
determination	vasberadenheid
despite	ondanks
&apos	sy
Karaites	Karaïete
remedy	oplossing
lies	lê
longest	langste
ever	nog
beautifully	pragtig
written	geskrewe
masterpiece	meesterstuk
unduly	uitermate
suspicious	agterdogtig
strangers	vreemdelinge
horse	perd
ominous	onheilspellende
be	tot
disloyal	dislojaal
No	Niemand
off	daaraan
true	waarheid
spirit	Gees
speak	gepraat
earlier	vroeër is
gap	gaping
hand	hande
sudden	skielike
loud	harde
noises	geluide
Mildness	Sagmoedigheid
emotions	emosies
is	hou
physically	fisiese
fleshly	vlees
Lack	Gebrek
raise	laat
pressure	bloeddruk
asthma	asma
	kan
deceived	mislei
installed	geïnstalleer
spots	plekke
famous	bekendste
cargo	vrag
tens	tienmiljoene
dollars	rand
talks	toesprake
Example	voorbeeld
Prayers	gebede
session	sessie
conclude	afsluit
qualify	vereistes voldoen
pieces	stukke
moved	verhuis
hand	daarenteen
Pharisee	Fariseër
down	neer
only	eers
saturated	versadigde
increase	vergroot
coronary	koronêre
common	gemeen
now	noudat
recently	onlangs
As	Maar
wake	wakker
turn	verander
things	nie
around	in
shaken	geskud
filled	vervul
holy	Heilige
find	&apos
wealth	skat
so	wees
none	niemand
glorified	verheerlikte
the	al
144,000	144 000
effort	inspan
discernment	onderskeidingsvermoë
expressed	uitgedruk
trained	opgeleide
singers	sangers
invited	het
so	toe
fortunate	gelukkig
through	deurgemaak
winner	wenner
opponent	teenstander
at	Op
Rich	Ryk
await	wag
including	ook
facing	voor
gamble	dobbel
all	Al
sees	sien
adversities	teëspoed
hears	hoor
time	wees
prayerful	biddend
examination	ondersoek
adjustments	aanpassings
schedule	program
Do	Dink
think	aan
pulpit	preekstoel
	met
Had	As
Body	liggaam
back	destyds
then	het
might	miskien
have	gehad
enrich	verryk
besides	buiten
-	se
result	tot
about	Ongeveer
widespread	algemene
flooding	oorstromings
write	Skryf
have	weet
trustworthy	betroubaar
condemnation	veroordeling
who	
yourselves	self
hindered	verhinder
there	hulle
no	glad
escape	ontkom
wrath	gramskap
practicing	beoefen
punishment	straf
course	loopbaan
theories	teorieë
agree	stem saam
dates	dateer
back	uit
sown	gesaai
field	saailand
tolerant	verdraagsamer
supportive	ondersteun
building	bou
what	soos
seas	seë
any	eniger
wherever	waar al
number	paar
saw	besef
teach	onderrig
needy	behoeftige
Pilate	Pilatus
writing	skryf
had	die
means	manier
whenever	wanneer
successfully	welslae
resisted	weerstaan
habit	gewoonte
overcome	bowe
helpful	nuttig
a	jy
tombs	grafte
pyramids	piramides
oneness	eenheid
invisible	Onsigbare
thus	gevolglik
fish	visse
all	geen
are	van
meeting	vergaderinge
is	uiters
older	bejaardes
Repent	Toon berou
out	word
seasons	tye
maintain	om behou
His	hy
lifted	gelig
up	word
pictures	beeld
his	dit
life	opgewek
ruling	beslissing
hearing	verhoor
middle	middel
ability	staat
intensive	intensiewe
active	bedrywige
galaxies	galaksies
Middle	Middeleeue
less	meer
tolerated	geduld
fit	by
rule	saam regeer
Researchers	Navorsers
prefers	verkies
tongue	taal
and	in
and	van
sounds	geluide
done	geskied
urban	stedelike
schools	skole
camps	kampe
there	soontoe
rent	huur
found	aangetref
Imagine	Stel voor
excitement	opgewonde
demonic	demoniese
be	dan
challenge	uitdaging hoof
o	-
&apos;clock	uur
decisive	beslissende
duty	diens
unusually	buitengewoon
representing	wat
planes	vliegtuie
remember	Onthou
when	waar
seeming	oënskynlike
delay	vertraging
due	wyte
experienced	ervare
named	
another	&apos
Also	Ook
example	Voorbeeld
that	waarna
build	bou
formulated	geformuleer
would	
species	plantsoorte
seemingly	blykbaar
be	slegs
pollinated	bestuif
staff	staf
held	het
governor	goewerneur
real	groot
caring	versorging
investigate	ondersoek
Knowledge	Kennis
Everlasting	ewige
stretches	strek
as	Soos
bulls	bulle
at	van
Thanks	Danksy
network	netwerk
much	deel
Norway	Noorweë
cover	voorblad
issue	geskil
of	aangaande
settled	besleg
all	altyd
designs	planne
are	behoort
none	nie
crossed	oorgesteek
Atlantic	Atlantiese
Ocean	Oseaan
face	hoof
many	al
Convention	streekbyeenkoms
Those	Dié
about	word
trickery	bedrieëry
cunning	listigheid
error	dwaling
plain	duidelik
of	lange
share	aan
reflecting	nadink
examples	Bybelvoorbeelde
in	aandeel
urgent	dringende
fellow	naaste
contrast	verskil
known	wat
Thus	Die
appear	blykbaar
words	woord
thought	gedagte
thanked	het bedank
commended	geprys
inform	lig
worldwide	regoor wêreld
likely	heel
have	moontlik
tradition	tradisie
kissing	soen
called	sogenoemde
eighth	agtste
B.C.E	v.G.J
lambs	lammers
lacked	nie
grown	volgroeide
release	vrystelling
appendix	aanhangsel
responses	antwoorde
fact	eintlik
lot	heelwat
cultivate	kweek
said	blykbaar
of	was
had	van
presented	aangebied
way	Sodoende
follow	gehoorsaam
fine	voortreflike
planning	beplan
Pentecost	Pinksterfees
	
partiality	partydigheid
oppressive	onderdrukkend
promoting	bevorder
self	selfverloëning
encourages	moedig
reported	berig
To	om te
viewpoint	standpunt
actions	optrede
lovers	liefhebbers
disobedient	ongehoorsaam
unthankful	ondankbaar
on	peins
for	daarvoor
First	eerste
IMAGINE	STEL jou
shared	het
translation	Bybelvertaling
walking	gewandel
Onesiphorus	Onesiforus
assistance	bystand
older	bejaarde
varies	verskil
may	moet
humility	nederig
show	wees
in	kan
pessimistic	pessimistiese
note	noot
	sien
context	konteks
prefer	verkies
circuit	kringwerk
development	ontwikkeling
strict	streng
ethical	etiese
concepts	begrippe
developed	ontwikkelde
valleys	valleie
western	westelike
shadows	skaduwees
emperor	keiser
someday	eendag
that	gedoen
love	vir
loved	vir
thorough	deeglik
with	met met
their	hulle hulle
and	sy
practiced	wat
twenty	en twintig
men	man
faces	gesig
east	ooste
held	gehou
Sunday	Sondag
particular	spesifieke
suffer	aan
chronic	chroniese
acute	akute
isolation	afsondering
traveled	gereis
expedition	ekspedisie
exercised	het
assigned	het
cherubs	gerubs
down	ondertoe
One	Iemand
intimate	intieme
As	wanneer
picture	prentjie
listening	na
talk	Bybeltoespraak
thanks	dankie
scrutiny	ondersoek
reveals	toon
convey	dra
messages	boodskappe
visions	visioene
endured	het
discomfort	ongerief
fortune	fortuin
descended	neergedaal
No	Nee
returned	het
reestablish	herstel
whole	heel
wrongdoers	oortreders
one	om
	beteken
harsh	ongevoelig
	, word
standing	stand
manifest	openbaar
fishermen	vissermanne
preferred	verkies
Do	Doen
sufficient	voldoende
need	benodig
special	spesiaal
settings	instellings
kept	het
hear	na
genes	gene
miles	kilometers
distant	verafgeleë
unfaithful	ontroue
Ahaziah	Ahasia
chief	hoof
impressed	het
circuit	kringopsiener
Book	boek
Stories	Bybelverhale
seriously	ernstig opneem
inculcate	skerp
the	deur
fury	grimmigheid
need	belangrikheid
prisons	tronke
equal	gelyk
sight	oë
tormented	gepynig
wayward	eiesinnige
threatened	bedreig
	word 
extremely	baie
degraded	verdorwe
disobeyed	ongehoorsaam
does	maak
tired	moeg
prayer	gebede
able	geslaag
truth	Koninkrykswaarheid
space	spasie
observe	onderhou
led	&apos
teachers	leermeesters
As	Volgens
Aristotle	Aristoteles
face	voor
concludes	gevolgtrekking
resources	hulpbronne
present	oomblik
prevention	voorkoming
cure	genesing
of	sal
Health	Gesondheid
cars	motors
luxurious	weelderige
reveal	toon
nicotine	nikotien
substances	middels
how	dat
assigned	toegewys
expressed	gesê
greater	hulp
predicts	voorspel
unscrupulous	gewetenlose
we	wat
caught	gevang
remains	bly
lot	klomp
stayed	gebly
section	artikel
reads	lees
ads	advertensies
jobs	werk
ought	behoort
up	maak
milk	melk
hot	warm
wears	dra
could	sal
added	bykomende
Almighty	Almagtige
particular	besonder
deed	daad
of	laat
drug	dwelmmisbruik
promiscuity	promiskuïteit
destructive	verwoestende
assures	verseker
triumph	seëvier
ambassadors	ambassadeurs
envoys	gesante
Messianic	Messiaanse
become	hulle
reconciled	versoen
his	die
Priest	Hoëpriester
practices	beoefen
relationship	verband
extraordinary	uitsonderlike
unlikely	onwaarskynlike
wonderfully	wonderlik
vital	noodsaaklike
failure	misluk
fault	skuld
borrowed	geleen
can	Kan
Modern	Moderne
technology	tegnologie
supposed	veronderstel
efficient	doeltreffender
workplace	werksplek
Known	bekend
it	was
200,000	200 000
attendance	bywoning
makes	stel
together	tesame
concluded	het afgesluit
possible	vermoë
	nog
Watch	Wagtoring
Tower	-
Tract	Traktaatgenootskap
remains	steeds
exploited	uitgebuit
civilizations	beskawings
Bethel	Bethelgesin
from	met
City	stad
graduation	graduering
Navajo	Navaho
In	die
repentant	berouvolle
unrighteous	onregverdiges
depart	weggaan
reasoned	geredeneer
on	daaroor
&apos;s	laat
prophecy	Bybelprofesie
recorded	wat
	is en
eventual	uiteindelike
Virtually	Feitlik
preconceived	vooropgesette
prejudice	vooroordeel
financial	geldelike
expenses	uitgawes
reduced	verminder
us	
deadly	dodelik
recorded	opgeteken
These	hierdie
war	oorloë
It	dit
is	beslis
convenience	gerief
Institute	Instituut
Technology	Tegnologie
place	blyplek
when	om
more	duideliker
allows	toelaat
who	hulle
them	laat
similarity	ooreenkoms
planks	planke
frame	raam
it	ons
practically	feitlik
everything	al
overnight	oornag
out	en
sum	som
leaving	wat
bankrupt	bankrot
one	sal
beauty	skoonheid
beneath	onder
Note	Kyk
additional	bykomende
regarding	betrekking
comforting	bemoedigend
equal	gelyke
	asof
at	ons
rob	ontneem
For	&apos
affected	geraak
hated	het gehaat
February	Februarie
Peter	Pieter
Academy	Akademie
Sciences	Wetenskappe
founded	gestig
decree	bevel
established	stand
Even	Nogtans
remembering	onthou
refuge	toevlug
replacing	vervang
sacrificing	selfopofferende
Austrian	Oostenrykse
at	toe
their	van
risks	gevare
make	hulle
call	bel
card	kaartjie
In	Wat
regulations	regulasies
degree	mate
safety	veiligheid
windmill	windmeul
center	middel
of	hê
ocean	oseaan
Over	deur
shown	getoon
ongoing	voortdurende
satisfying	bevredigende
rewarding	lonende
reached	tot
	leer
back	terugkom
Friday	Vrydag
back	
1960	sestigerjare
consider	ondersoek
myself	afgevra
allow	moontlik
them	maak
customary	gebruiklike
meal	eet
was	tog
offspring	nageslag
Micah	Miga
reminds	herinner
wants	hê
incoming	inkomende
welcomed	verwelkom
concluded	slotsom
have	Daar
raised	wat
in	vir
discussing	bespreek
die	sterwe
	—
even	nog
But	maar
urges	spoor
faults	foute
Dad	Pa
for	hy
disillusioned	ontnugter
traits	eienskappe
faithful	Getroue
Jew	Jood
rectify	reg stel
economically	ekonomies
as	om
important	allerbelangrikste
restrictions	beperkings
keys	sleutels
Learn	Leer
calmly	kalm
	op
know	uitvind
ways	Hoe
exact	presies
ever	immer
fact	trouens
persevere	volhard
doing	uitvoering
obstacles	hindernisse
member	gemeentelid
maintain	om
no	nie nie
Sometimes	soms
respect	eerbied
thus	so
praying	bid
forgotten	vergeet
total	algehele
comparison	vergelyking
said	beweer
mind	gedagtes
autism	outisme
division	verdeeldheid
mother	skoonmoeder
commands	bevele
one	Wie
slanderer	lasteraar
is	lê
confidential	vertroulike
talk	gesprekke
one	wie
covering	bedek
day	daaglikse
that	so
been	die
in	geraak
a	hulle
sinful	sonde
others	vertel
oppose	teëstaan
a	iemand
over	en
manner	wyse
	oor
having	sy
May	Laat
restoration	herstelling
Tower	Toring
located	wat
Show	Toon
sixth	sesde
	hê
governments	menseregerings
passages	Bybelgedeeltes
cremation	verassing
disfavor	onguns
telling	om
jokes	grappe
just	bloot
get	te
deemed	as
hospitably	gasvry
does	wil
answers	antwoord
finished	het
preparation	voorbereiding
missionary	sendingwerk
myth	mite
planted	geplant
flourishes	floreer
need	rede
adapt	pas
to	self
	en
over	om
Study	studie
Spanish	Spaans
Still	Maar
earth	wêreld
continue	nog
rebuild	herbou
is	bestaan
Was	Het
living	gelewe
years	- jarige
relatives	familie
infants	babas
lack	nie
Sovereign	Soewerein
-	persoonlike
tools	instrumente
data	inligting
	kom
&apos;s	gaan
fence	heining
off	word
Could	Kan
Friend	Vriend
cares	besorg
points	dui
mathematical	wiskundige
advanced	gevorderde
tools	gereedskap
native	inboorlinge
most	heel
sent	na
hill	heuwel
celebrate	vier
Memorial	Herdenking
unselfish	onselfsugtig
benevolent	welwillende
for	behoewe
If	Wanneer
force	lewenskrag
originally	oorspronklik
this	nie
my	die
-	- -
challenges	uitdagings
insecure	onseker
Virginia	Virginië
policy	beleid
faculty	fakulteit
sex	geslagsomgang
married	n
fearing	godvresende
offend	aanstoot
us	gee
Rather	Moenie
Hebrew	Hebreeus
grammar	grammatika
Interestingly	Interessant genoeg
bold	moedige
arrangements	reëlings tref
legal	wettige
course	lewenswyse
life	het
studies	Bybelstudies
Airport	Lughawe
rainy	reënerige
Wednesday	Woensdag
up	is
abundant	oorvloedige
stones	stene
grandeur	grootsheid
reflection	weerspieëling
none	geeneen
progress	vordering
similar	ook
pronoun	voornaamwoord
Nazarene	Nasarener
impaled	paal gehang
sound	gesond
linked	met
credited	toegeskryf
painter	skilder
to	omtrent
public	publiek
times	Bybeltye
sailors	matrose
cats	katte
exist	is
Friday	Vrydagmiddag
Children	kinders
Biblical	Bybelse
considered	oorweeg
alive	gelewe
leaders	leiers
stage	stadium
for	dit
the	nou
well	welstand
bear	&apos
resemblance	ooreenkoms
electrons	elektrone
atom	atoom
molecules	molekules
soldier	soldaat
charge	bevel
talk	met
regard	agting
appoint	aanstel
Paradise	Paradysaarde
confident	vol vertroue
to	wanneer
genuine	werklik
needs	behoefte
nature	aard
business	sake
Mr	mnr
properly	reg
Modesty	Beskeidenheid
reasonable	redelik
To	tot
Lois	Loïs
be	gebeur
advised	aangeraai
Large	Groot
California	Kaliforniese
highways	hoofweë
man	iemand
pile	hoop
diamond	diamant
priest	priester
Berlin	Berlynse
pounds	pond
production	produksie
being	daarvan
treasure	skat
South	Suid-
join	saam
they	het
dangerous	gevaarlikste
would	sou sou
rising	stygende
Tens	Tienduisende
both	sowel
Until	totdat
divine	se
on	&apos
construction	bou
motion	beweging
fluid	vloeistof
they	daar
addiction	verslawing
	lei
side	newe
effects	effekte
b.c.e	vhj
course	koers
Further	Verder
fruitful	vrugbaar
subdue	onderwerp
on	langs
course	lewenswandel
demonstration	bewys
exhorted	aangespoor
find	hulle
delight	verlustig
John	Joh
talented	talentvolle
beautiful	mooiste
share	help
fell	geval
upon	
kissed	gesoen
answered	beantwoord
Clearly	klaarblyklik
falling	val
does	
refer	verwys
occurring	wat
conclusion	voleinding
	wil
habits	gewoontes
my	My
determination	vasbeslotenheid
to	by te
tests	beproewinge
permit	toelaat
reports	verslae
Once	Eenkeer
kept	aangehou
preaching	velddiens
centered	egosentries
persuasion	oorreding
another	iemand
person	anders
optimism	optimisme
disillusionment	ontnugtering
Good	Goeie
Queen	Koningin
send	vir
fatherly	vaderlike
may	laat
length	lengte
Regardless	Ongeag
exercise	dag
compassionate	medelye
forgiving	vergewensgesind
sure	dat
definition	definisie
of	waaroor
the	almal
walls	wande
effectively	doeltreffend
shown	betoon
that	
	is
resident	inwoner
could	sou
Though	Al
seem	of
potent	sterk
seemed	asof
no	n
was	weer
day	vandag
spent	saam
	begin
student	Bybelstudent
spiritual	geestelik
rapid	vinnig
carry	&apos
2,000	2 000
in	binne
walked	gewandel
similarly	ook
pickup	bakkie
nor	nie
injustice	ongeregtigheid
crime	misdaad
hunger	honger
response	reageer
is	jou
take	aanneem
modesty	beskeie
everyday	daaglikse
much	te
decent	ordentlike
sanitation	sanitasie
Cyrus	Kores
defeated	verslaan
waged	gevoer
neighboring	naburige
tactfully	taktvol
When	wanneer
settlement	nedersetting
systematically	stelselmatig
have	nodig
lame	kreupel
unrighteous	onregverdig
as	hy
among	van
preaching	Koninkrykspredikingswerk
lifted	opgehef
decree	verordening
Caesar	keiser
Bethlehem	Betlehem
forefathers	voorvaders
registered	geregistreer
friend	Vriend
you	ma
sought	het
and	gaan
widespread	wydverspreide
religious	godsdiens
philosophical	filosofiese
polluted	besoedel
prayed	gebid
Watching	beskou
Regarding	Wat
to	daarop
point	wys
the	baie
why	Daarom
his	syne
own	is
one	op
incite	spoor
More	meer
another	Ander
says	gesê
Those	Die
homeland	vaderland
work	help
having	aangesien
watched	hoe
bones	bene
preached	gepreek
specified	gespesifiseer
reference	verwysing
people	is
for	wille
A	Een
reason	waarom
safeguard	beveilig
apostasy	afvalligheid
People	mense
suffering	wat
consult	raadpleeg
compelling	dwingende
it	is
these	hiervan
basic	fundamentele
return	wederkoms
Almost	Byna
hiv	miv
increased	vermeerder
time	Later
was	sou
sell	verkoop
Yet	tog
prominent	belangrike
announced	aangekondig
through	&apos
trials	beproewings
cleansing	reiniging
serving	ons
work	doen
taught	onderrig
Scriptures	Skrifte
inheritance	erfdeel
likewise	ook
like	hê
commenced	begin
parents	Christenouers
By	deur
we	ons ons
wisely	wys
wherein	waarin
appears	lyk
	mense
	waarom
violence	gesinsgeweld
instead	maar
heavy	strawwe
alcoholic	alkoholis
repair	herstel
broken	gebroke
person	Mens
root	oorsaak
his	jou
unhappiness	ongelukkigheid
insist	vol
created	het
Contrast	Vergelyk
angry	woedend
	was
educated	opgevoed
kinds	soorte
rule	regering
theocracy	teokrasie
everywhere	oral
being	die
numbers	syfers
cherish	koester
favoritism	voortrekkery
Women	Vroue
ray	straal
issue	saak
maintain	&apos; behou
considerable	baie
full	volkome
as	was
belief	geloof
be	sal
religion	geloof
over	Oor
vigilant	waaksaam
alert	waaksaam
fulfilled	vervulling
	: 
shine	skyn
addition	benewens
	gesien
there	het
references	verwysings
disgusting	walglike
causing	veroorsaak
desolation	verwoesting
keep	voortdurend
lest	sodat
root	wortelskiet
implies	kenne
accepting	ons
legalize	wettig
woman	Christin
legally	wettig
Do	Maak
notice	sien
youth	jong
disfellowshipped	uitgesit
has	se
u.s.a	vsa
rehabilitation	rehabilitasie
So	Gevolglik
direction	riglyne
anatomy	anatomie
December	Desember
earlier	vorige
leading	voor
many	die
	ontstaan
contact	aanraking
right	net
Ptolemy	Ptolemeus
explained	het
sky	naghemel
	gegee
My	Ek
are	wil
sorrow	hartseer
teaching	om
including	onder
stress	stres
debt	skuld
waste	vermorsing
envy	afguns
others	mense
generally	gewoonlik
little	nie
difficulty	moeilik
still	stil
invites	nooi
trust	pand
out	van
your	U
Majesty	Majesteit
hadn	het
butter	botter
complex	ingewikkelde
physically	fisies
accomplishment	bereik
pillar	pilaar
intense	hewige
anointed	Gesalfde
dedicated	toegewyde
associates	metgeselle
be	saam
Illustrate	Lig
the	watter
played	&apos; gespeel
visitor	besoeker
continued	nog
associate	omgaan
ruled	beslis
favor	gunste
login	aanteken
server	bediener
have	het &apos
menu	kieslys
option	opsie
enduring	volhard
range	omvang
revealed	onthul
probably	moontlik
replies	antwoord
majesty	majesteit
has	my
very	heeltemal
mistaken	verkeerd
very	uiters
lord	heer
are	bevind
timetable	tydrooster
does	hou
cope	hoof bied
A	die
their	n
Proclaimers	verkondigers
scholar	geleerde
rendered	as vertaal
richer	ryker
gracious	genadige
of	waarop
automatic	outomatiese
rifles	gewere
strive	daarna streef
like	as
been	nou
watch	waak
weigh	weeg
of	talle
sold	het
managed	geslaag
units	eenhede
polygamy	veelwywery
—	&apos
falsely	valslik
we	om
done	
foretell	voorspel
regarding	verband
apply	toepassing
to	van te
the	te
lawless	wettelose
mob	gepeupel
depending	gelang
praise	eer
established	opgerigte
—	te
unbaptized	ongedoopte
outlined	uiteengesit
Helping	Help
Others	ander
Build	Bou
Trust	vertroue
His	sy
feed	voed
fields	gebied
chemistry	chemie
capacity	vermoë
thought	dink
search	soeke
guilty	skuldige
that	van
appreciated	waardering
loved	liefde
advises	raad
credit	erkenning
confessed	bely
long	lange
poll	meningspeiling
commissioned	opdrag
develop	om
successful	suksesvol
pound	kilogram
liters	liter
produce	vervaardig
beef	beesvleis
chicken	hoender
Indian	Indiese
statesman	staatsman
once	eenkeer
commented	opgemerk
spectacle	skouspel
horror	afgryse
life	word
grandchildren	kleinkinders
With	In
aid	behulp
substance	middel
melanoma	melanoom
bearing	wat
need	noodsaaklikheid
most	grootste
widely	verspreiding
estimated	geskat
rainy	reënseisoen
cu	kubieke
second	sekonde
guess	dink
came	begin
turmoil	onrus
his	te
association	assosieer
reports	vertel
anniversary	huweliksherdenking
estimate	skat
decline	afneem
slightly	effens
towns	dorpies
Sweden	Swede
model	voorbeeld
regarding	wat
conclude	dink
injustice	onregverdig
member	iemand
that	Hierdie
succeed	sukses behaal
principle	Bybelbeginsel
telling	vertel
destination	bestemming
there	mense
free	vrye
Reading	lees
on	verder
hippo	seekoei
afar	ver
bank	oewer
age	leeftyd
rendering	verrig
generosity	vrygewigheid
with	oor
reaching	bereik
thousand	-
boy	seuntjie
transfusion	bloedoortapping
correct	korrek
put	om
revealed	geopenbaarde
have	geniet
improved	beter
aside	afwyk
have	julle
you	het
calamity	onheil
Regarding	oor
up	opgestaan
moment	tyd
really	eintlik
Elisha	Elisa
servant	dienskneg
Naaman	Naäman
You	jou
times	maal
Jordan	Jordaan
that	sal
back	terugkeer
Additionally	Daarbenewens
of	hoe
planning	beplanning
labor	arbeid
times	tydperke
examines	ondersoek
anyone	elkeen
hates	haat
limitations	beperkinge
excuse	verskoning
revealed	lig
think	meen
boarding	kosskool
poorly	swak
equipped	toegeruste
states	state
client	kliënt
-	aan
confession	belydenis
central	sentrale
synagogue	sinagoge
Since	Sedertdien
summit	kruin
fears	vrese
upon	aan
mankind	mense
arrived	gekom
To	Vir
ironic	ironies
is	sê
make	vir
carved	gesnede
likeness	gelykenis
anything	wat
all	
make	laat
path	pad
First	Eers
skillful	bekwame
Arrangements	Reëlings
train	lei
haughty	hoogmoedige
exalted	verhef
pursue	streef
actively	daadwerklik
cultivating	kweek
remarkably	besonder
met	ontmoet
were	moes
possess	het
prevented	voorkom
existing	bestaande
technologies	tegnologie
have	om
numerous	verskeie
throughout	gedurende
worthwhile	moeite werd
Jehonadab	Jonadab
ones	diegene
preserve	bewaar
give	die
arise	ontstaan
use	&apos
	maar
Christ	Jesus
perfectly	volmaak
has	wel
Taking	As
to	help
being	nie
ensnared	verstrik
greedy	gierige
unrealistic	onrealistiese
Time	Die
Likewise	so
placed	wat
visible	sigbaar
advantages	voordele
an	hierdie
build	om bou
holy	allerheiligste
teachings	leer
qualities	hoedanighede
–	-
Whatever	Watter
be	maak
could	Kan
mention	noem
private	persoonlike
in	daaraan
counsels	raad
improvement	verbetering
	, is
considerate	bedagsame
associated	wat
gatherings	gesellighede
captain	kaptein
he	wat
is	deur
appointed	as
paid	betaal
remarry	weer trou
double	dubbele
speaking	woord
take	jou
burned	gebrand
fascinating	boeiende
page	bladsye
presents	bied
industry	bedryf
predicting	voorspel
are	al
penalty	straf
affect	op
Iceland	Ysland
atheists	ateïste
fasted	gevas
were	hulle
dressed	geklee
mourning	rou
2,500	2500
forced	genoodsaak
primary	hoofdoel
Worship	Gesinsaanbidding
3,500	3 500
make	gemaak
lofty	verhewe
awe	ontsagwekkend
more	eerder
saints	heiliges
aim	doel
time	eeue
searched	gesoek
unlike	anders
metal	metaal
am	gaan
singing	sing
comment	kommentaar
Theocratic	Teokratiese
Ministry	Bedieningskool
there	hier
load	vrag
feeds	voed
one	ons
Naturally	natuurlik
consider	neem
viewpoint	sienswyse
appreciate	verstaan
catch	vang
interesting	interessanter
concern	besorg
looks	voorkoms
had	het &apos
produced	geproduseer
competition	mededinging
very	dieselfde
leave	vertrek
develop	&apos; ontwikkel
appropriate	gepaste
Web	webwerf
assigned	toewysing
look	lyk
transfusions	bloedoortappings
So	so
effective	doeltreffende
salt	sout
way	sin
Australians	Australiërs
giving	en
rise	aanleiding
phrase	uitdrukking
province	provinsie
courtroom	hofsaal
packed	vol
killing	dood
million	driemiljoen
infectious	aansteeklike
despise	verag
quick	vinnige
negotiate	onderhandel
instruments	instrumente
All	Alles
not	
Adversary	Teenstander
have	ten
covenants	verbonde
authorities	regeringsowerhede
though	dit
fiery	vuur
lake	poel
decline	agteruitgang
employers	werkgewers
of	weens
manager	bestuurder
apply	aansoek
poetic	poëtiese
summary	opsomming
damaged	beskadigde
simple	maklik
ingredients	bestanddele
apple	appel
making	ons
decisions	besluit
and	die
these	volgende
ourselves	nie
beloved	geliefdes
hidden	verberg
meekness	sagmoedigheid
came	later
devoted	toegewyde
overseers	opsieners
systems	stelsels
hardly	nie
educational	opvoedkundige
courageous	moedige
whatever	wat
may	ook
Lord	HERE
lords	here
Flee	Vlug
	vestig
richly	ryklik
enjoyment	genot
olds	jariges
repay	vergeld
deserve	verdien
pity	jammerte
affairs	sake
full	voltyds
village	dorpie
rented	gehuur
Abishai	Abisai
asphalt	asfalt
tar	teer
purposed	voorneme
stable	stabiele
secure	veilige
environment	milieu
immense	ontsaglike
greed	hebsug
suffering	lydende
asking	en
caring	om
Our	Onse
explains	verklaar
expects	verwag
studying	Bybelstudie
Island	eiland
made	maak
deep	groot
surroundings	omgewing
unwholesome	onheilsame
intriguing	interessante
raised	geopper
keynote	programrede
Godly	Godvrugtige
Fear	Vrees
